Photon       Linear     Mass_Energy
Energy       Coeff      Coeff

1.00000e-03  3.905e+03  3.905e+03
1.03542e-03  3.563e+03  3.563e+03
1.07210e-03  3.249e+03  3.249e+03
1.07210e-03  3.255e+03  3.255e+03
1.50000e-03  1.314e+03  1.314e+03
2.00000e-03  5.874e+02  5.874e+02
2.14550e-03  4.810e+02  4.810e+02
2.14550e-03  4.857e+02  4.857e+02
2.30297e-03  3.965e+02  3.965e+02
2.47200e-03  3.239e+02  3.239e+02
2.47200e-03  3.297e+02  3.297e+02
2.64140e-03  2.727e+02  2.727e+02
2.82240e-03  2.252e+02  2.252e+02
2.82240e-03  2.268e+02  2.268e+02
3.00000e-03  1.903e+02  1.903e+02
3.60740e-03  1.110e+02  1.110e+02
3.60740e-03  1.155e+02  1.155e+02
4.00000e-03  8.533e+01  8.533e+01
5.00000e-03  4.416e+01  4.416e+01
6.00000e-03  2.568e+01  2.568e+01
8.00000e-03  1.089e+01  1.089e+01
1.00000e-02  5.624e+00  5.624e+00
1.50000e-02  1.778e+00  1.778e+00
2.00000e-02  8.615e-01  8.615e-01
3.00000e-02  3.972e-01  3.972e-01
4.00000e-02  2.819e-01  2.819e-01
5.00000e-02  2.375e-01  2.375e-01
6.00000e-02  2.150e-01  2.150e-01
8.00000e-02  1.914e-01  1.914e-01
1.00000e-01  1.778e-01  1.778e-01
1.50000e-01  1.567e-01  1.567e-01
2.00000e-01  1.426e-01  1.426e-01
3.00000e-01  1.235e-01  1.235e-01
4.00000e-01  1.105e-01  1.105e-01
5.00000e-01  1.008e-01  1.008e-01
6.00000e-01  9.318e-02  9.318e-02
8.00000e-01  8.183e-02  8.183e-02
1.00000e+00  7.357e-02  7.357e-02
1.25000e+00  6.578e-02  6.578e-02
1.50000e+00  5.986e-02  5.986e-02
2.00000e+00  5.141e-02  5.141e-02
3.00000e+00  4.128e-02  4.128e-02
4.00000e+00  3.537e-02  3.537e-02
5.00000e+00  3.150e-02  3.150e-02
6.00000e+00  2.878e-02  2.878e-02
8.00000e+00  2.521e-02  2.521e-02
1.00000e+01  2.302e-02  2.302e-02
1.50000e+01  2.011e-02  2.011e-02
2.00000e+01  1.875e-02  1.875e-02
