Photon       Linear     Mass_Energy
Energy       Coeff      Coeff

1.00000e-03  4.90741e+00  4.89636e+00
1.03542e-03  4.46918e+00  4.45903e+00
1.07209e-03  4.07016e+00  4.06084e+00
1.07211e-03  4.07827e+00  4.06879e+00
1.14237e-03  3.43908e+00  3.43097e+00
1.30499e-03  2.40579e+00  2.39995e+00
1.30501e-03  2.41273e+00  2.40671e+00
1.50000e-03  1.66070e+00  1.65644e+00
2.00000e-03  7.47077e-01  7.44295e-01
2.14549e-03  6.11697e-01  6.09019e-01
2.14551e-03  7.99798e-01  7.86300e-01
2.47199e-03  5.43959e-01  5.34750e-01
2.47201e-03  5.51786e-01  5.42016e-01
2.82239e-03  3.85439e-01  3.78683e-01
2.82241e-03  3.87490e-01  3.80552e-01
3.00000e-03  3.28724e-01  3.22885e-01
3.60739e-03  1.95447e-01  1.91783e-01
3.60741e-03  1.96950e-01  1.93098e-01
4.00000e-03  1.47268e-01  1.44329e-01
4.03809e-03  1.43336e-01  1.40452e-01
4.03811e-03  3.10367e-01  2.83064e-01
5.00000e-03  1.76954e-01  1.63387e-01
6.00000e-03  1.07552e-01  1.00150e-01
8.00000e-03  4.85179e-02  4.55174e-02
1.00000e-02  2.59103e-02  2.42863e-02
1.50000e-02  8.22223e-03  7.52389e-03
2.00000e-02  3.68964e-03  3.21354e-03
3.00000e-02  1.29333e-03  9.52394e-04
4.00000e-02  6.95369e-04  4.03999e-04
5.00000e-02  4.76893e-04  2.13290e-04
6.00000e-02  3.76530e-04  1.31855e-04
8.00000e-02  2.89418e-04  7.11463e-05
1.00000e-01  2.51670e-04  5.22308e-05
1.50000e-01  2.09471e-04  4.22303e-05
2.00000e-01  1.87571e-04  4.19930e-05
3.00000e-01  1.60838e-04  4.35766e-05
4.00000e-01  1.43470e-04  4.43937e-05
5.00000e-01  1.30778e-04  4.45430e-05
6.00000e-01  1.20837e-04  4.42842e-05
8.00000e-01  1.06048e-04  4.31818e-05
1.00000e+00  9.53055e-05  4.17663e-05
1.25000e+00  8.52147e-05  3.98965e-05
1.50000e+00  7.75815e-05  3.81302e-05
2.00000e+00  6.67239e-05  3.51300e-05
3.00000e+00  5.39142e-05  3.09333e-05
4.00000e+00  4.65582e-05  2.82402e-05
5.00000e+00  4.17918e-05  2.64143e-05
6.00000e+00  3.84901e-05  2.51203e-05
8.00000e+00  3.42523e-05  2.34467e-05
1.00000e+01  3.17216e-05  2.24394e-05
1.50000e+01  2.85199e-05  2.11550e-05
2.00000e+01  2.71848e-05  2.05893e-05
