Photon       Linear     Mass_Energy
Energy       Coeff      Coeff

1.00000e-03  3.955e+03  3.955e+03
1.03542e-03  3.608e+03  3.608e+03
1.07210e-03  3.291e+03  3.291e+03
1.07210e-03  3.303e+03  3.303e+03
1.50000e-03  1.334e+03  1.334e+03
2.00000e-03  5.976e+02  5.976e+02
2.14550e-03  4.895e+02  4.895e+02
2.14550e-03  4.942e+02  4.942e+02
2.30297e-03  4.038e+02  4.038e+02
2.47200e-03  3.297e+02  3.297e+02
2.47200e-03  3.355e+02  3.355e+02
2.64140e-03  2.775e+02  2.775e+02
2.82240e-03  2.292e+02  2.292e+02
2.82240e-03  2.338e+02  2.338e+02
3.00000e-03  1.964e+02  1.964e+02
3.60740e-03  1.147e+02  1.147e+02
3.60740e-03  1.170e+02  1.170e+02
4.00000e-03  8.638e+01  8.638e+01
5.00000e-03  4.468e+01  4.468e+01
6.00000e-03  2.597e+01  2.597e+01
8.00000e-03  1.100e+01  1.100e+01
1.00000e-02  5.677e+00  5.677e+00
1.50000e-02  1.790e+00  1.790e+00
2.00000e-02  8.649e-01  8.649e-01
3.00000e-02  3.968e-01  3.968e-01
4.00000e-02  2.807e-01  2.807e-01
5.00000e-02  2.361e-01  2.361e-01
6.00000e-02  2.135e-01  2.135e-01
8.00000e-02  1.899e-01  1.899e-01
1.00000e-01  1.763e-01  1.763e-01
1.50000e-01  1.553e-01  1.553e-01
2.00000e-01  1.413e-01  1.413e-01
3.00000e-01  1.224e-01  1.224e-01
4.00000e-01  1.095e-01  1.095e-01
5.00000e-01  9.991e-02  9.991e-02
6.00000e-01  9.237e-02  9.237e-02
8.00000e-01  8.112e-02  8.112e-02
1.00000e+00  7.294e-02  7.294e-02
1.25000e+00  6.522e-02  6.522e-02
1.50000e+00  5.934e-02  5.934e-02
2.00000e+00  5.096e-02  5.096e-02
3.00000e+00  4.092e-02  4.092e-02
4.00000e+00  3.509e-02  3.509e-02
5.00000e+00  3.125e-02  3.125e-02
6.00000e+00  2.856e-02  2.856e-02
8.00000e+00  2.503e-02  2.503e-02
1.00000e+01  2.286e-02  2.286e-02
1.50000e+01  1.999e-02  1.999e-02
2.00000e+01  1.866e-02  1.866e-02
