Photon       Linear     Mass_Energy
Energy       Coeff      Coeff

1.00000e-03  4.907e+00  4.896e+00
1.03542e-03  4.469e+00  4.459e+00
1.07209e-03  4.070e+00  4.061e+00
1.07211e-03  4.078e+00  4.069e+00
1.14237e-03  3.439e+00  3.431e+00
1.30499e-03  2.406e+00  2.400e+00
1.30501e-03  2.413e+00  2.407e+00
1.50000e-03  1.661e+00  1.656e+00
2.00000e-03  7.471e-01  7.443e-01
2.14549e-03  6.117e-01  6.090e-01
2.14551e-03  7.998e-01  7.863e-01
2.47199e-03  5.440e-01  5.348e-01
2.47201e-03  5.518e-01  5.420e-01
2.82239e-03  3.854e-01  3.787e-01
2.82241e-03  3.875e-01  3.806e-01
3.00000e-03  3.287e-01  3.229e-01
3.60739e-03  1.954e-01  1.918e-01
3.60741e-03  1.969e-01  1.931e-01
4.00000e-03  1.473e-01  1.443e-01
4.03809e-03  1.433e-01  1.405e-01
4.03811e-03  3.104e-01  2.831e-01
5.00000e-03  1.770e-01  1.634e-01
6.00000e-03  1.076e-01  1.002e-01
8.00000e-03  4.852e-02  4.552e-02
1.00000e-02  2.591e-02  2.429e-02
1.50000e-02  8.222e-03  7.524e-03
2.00000e-02  3.690e-03  3.214e-03
3.00000e-02  1.293e-03  9.524e-04
4.00000e-02  6.954e-04  4.040e-04
5.00000e-02  4.769e-04  2.133e-04
6.00000e-02  3.765e-04  1.319e-04
8.00000e-02  2.894e-04  7.115e-05
1.00000e-01  2.517e-04  5.223e-05
1.50000e-01  2.095e-04  4.223e-05
2.00000e-01  1.876e-04  4.199e-05
3.00000e-01  1.608e-04  4.358e-05
4.00000e-01  1.435e-04  4.439e-05
5.00000e-01  1.308e-04  4.454e-05
6.00000e-01  1.208e-04  4.428e-05
8.00000e-01  1.060e-04  4.318e-05
1.00000e+00  9.531e-05  4.177e-05
1.25000e+00  8.521e-05  3.990e-05
1.50000e+00  7.758e-05  3.813e-05
2.00000e+00  6.672e-05  3.513e-05
3.00000e+00  5.391e-05  3.093e-05
4.00000e+00  4.656e-05  2.824e-05
5.00000e+00  4.179e-05  2.641e-05
6.00000e+00  3.849e-05  2.512e-05
8.00000e+00  3.425e-05  2.345e-05
1.00000e+01  3.172e-05  2.244e-05
1.50000e+01  2.852e-05  2.115e-05
2.00000e+01  2.718e-05  2.059e-05
